O1          8     12   -4.9355279188    mp-12957
O1          8     15   -4.9033468262    mp-1087546
O1          8     92   -4.9287051912    mp-1091399
O1         12     92   -3.9902515833    mp-1102442
O1          2    166   -4.9117511550    mp-610917
O1          8     13   -4.8740952863    mp-1180036
O1         10      1   -4.5392717550    mp-1180064
O1         12      1   -4.5147520750    mp-1180008
Sc20O19         39     87   -8.4895133710    mp-684697
Sc2O3         40     33   -8.9759720157    mp-775837
Sc2O3         10    167   -9.0192555970    mp-755313
Sc2O3         10    148   -8.9715648740    mp-754455
Sc2O3         40    206   -9.0580932605    mp-216
Sc2O3          5    164   -8.9259956320    mp-13060
Sc2O3         15     12   -8.9842770133    mp-558748
Sc16O15         31    166   -8.4831014816    mp-759946
Sc1O1          2    225   -8.5358951350    mp-644481
Sc1O2         12     62   -7.9847981250    mp-1179114
Sc1O3          8    194   -6.5610424112    mp-1186987
Sc1O2          6     58   -7.9835818350    mp-1206234
Sc1O2          6     63   -7.9289739950    mp-1179108
Al2O3          5    160   -7.3901699060    mp-755483
Al2O3         20     14   -7.4046900040    mp-754531
Al2O3         80     13   -7.4479610419    mp-759943
Al2O3         15    150   -7.2711422720    mp-985587
Al2O3         40      1   -7.3701854865    mp-685036
Al2O3         10      2   -6.8126401220    mp-638765
Al2O3         20    163   -7.4091336710    mp-755175
Al2O3         10    148   -7.4157112250    mp-754624
Al2O3         40     61   -7.4334966350    mp-776490
Al2O3         30     11   -7.3911626753    mp-782035
Al2O3         10     63   -7.2027306240    mp-642363
Al2O3         30      1   -7.1474348980    mp-684990
Al2O3         40    206   -7.4515595468    mp-776475
Al2O3         40     15   -7.4487102775    mp-32570
Al2O3         10     12   -7.4718169170    mp-7048
Al2O3         20     60   -7.3879331350    mp-1938
Al2O3         40     33   -7.4643909060    mp-2254
Al2O3         25      1   -7.4024075408    mp-752826
Al2O3         10     36   -7.4355998500    mp-754401
Al1O2          6     63   -6.6478489050    mp-1096799
Al2O3         80      8   -7.4239944219    mp-32591
Al1O3          8    167   -5.7174238575    mp-35200
Al2O3         10    167   -7.4812975240    mp-1143
Al2O1          3    225   -4.0579945133    mp-8022
Al1O1          2    225   -5.5540327550    mp-8023
Al5O8         26    186   -7.2944644369    mp-1182893
Al1O3         16      2   -5.6033430900    mp-1182887
Al1O3         16     15   -5.6042910825    mp-1205393
Al5O8         13    216   -7.2163684492    mp-1228138
Al1O2         12     62   -6.7140919650    mp-1182869
Al11O18         58     11   -7.1969910905    mp-1229215
Al1O3          8      2   -5.7835515862    mp-1182877
Al1O3         32     14   -5.8288489281    mp-1182915
Al1O3          8    162   -5.6159047762    mp-1182868
Al1O2          6     58   -6.7579641383    mp-1182858
Al1O3         32     61   -5.7895835541    mp-1182911
Sc1Al1O3         20     62   -8.2415678690    mp-4471
F1          4     64   -1.8875099050    mp-760482
F1          8    223   -1.1511623562    mp-21848
F1          4     15   -1.8819666225    mp-561203
F1          4     12   -1.8726608600    mp-561367
Sc1F3          4      5   -6.6717255675    mp-1179500
Sc1F3          4    155   -6.9663234825    mp-559092
Sc1F3          4     21   -6.0616933400    mp-695817
Sc1F3          4    221   -6.9683497300    mp-10694
Sc1F3          8    167   -6.9675088287    mp-1078300
Sc1F3         16     62   -6.8599893094    mp-1094067
Al1F3         40    127   -5.8878788495    mp-555026
Al1F3         64    129   -5.8792213786    mp-1323
Al1F3         24     63   -5.8916179779    mp-559871
Al1F3          8      1   -5.5374535175    mp-635425
Al1F3          8    167   -5.8930054900    mp-468
Al1F3          4    221   -5.8924028525    mp-8039
Al1F3         12    150   -5.8888199725    mp-1103295
Al1F3          8      2   -5.8384857475    mp-1182902
Si1         46    223   -5.3625462041    mp-971662
Si1          4    194   -5.4146206000    mp-165
Si1          8      1   -5.0563818962    mp-1120447
Si1          2    141   -5.1354708150    mp-92
Si1          2     74   -5.1354316200    mp-8629
Si1          4    139   -5.3247333100    mp-999200
Si1         23    217   -5.3437769113    mp-971661
Si1          1    225   -4.8977898400    mp-27
Si1          1    139   -4.9405253500    mp-1056579
Si1          8    148   -5.2644926987    mp-571520
Si1          4     63   -4.9487436225    mp-1001113
Si1         34    227   -5.0857589868    mp-16220
Si1          2    194   -4.9299889700    mp-10649
Si1          9    166   -4.9248574178    mp-1094057
Si1          4     69   -5.1319830450    mp-109
Si1          1    191   -5.1214525100    mp-34
Si1          8     12   -5.3539413588    mp-1079297
Si1          1    229   -4.9071334100    mp-1014212
Si1          6    194   -4.9665059900    mp-1120747
Si1          8     64   -4.9974657950    mp-1079649
Si1         12     63   -5.3350463133    mp-1095269
Si1          8    206   -5.2667716612    mp-168
Si1          2    227   -5.4253664900    mp-149
Si1          6    229   -5.2029416983    mp-1072544
Si1        106    137   -5.2464718308    mp-1204046
Si1         82     15   -5.3008626410    mp-1199894
Si1         68    194   -5.3670291059    mp-1203790
Si1         58    164   -5.2803479316    mp-1202745
Si1         40    191   -5.3443178442    mp-1196961
Si1         46     63   -5.3279138920    mp-1204627
Si1        232    205   -5.3041648846    mp-1201492
Si1         41    217   -5.3140776317    mp-1200830
Sc1Si1          4     63   -6.7143783100    mp-9969
Sc1Si2          3    191   -6.1061132467    mp-2841
Sc1Si1          2    216   -5.3870278100    mp-1009752
Sc5Si3         16    193   -6.7603371431    mp-7822
Sc5Si4         36     62   -6.6899455794    mp-1209086
Si1B6          7    221   -6.0462790486    mp-7700
Si1B1          4    186   -5.6663722450    mp-978495
Si3B1          8    194   -4.8289457513    mp-972733
Si1B4         15    166   -6.1791008900    mp-978496
Si1B3         32     74   -6.4060283156    mp-569128
Si1C1          4    186   -7.5267798550    mp-7140
Si1C1         54    156   -7.5302927444    mp-570985
Si1C1         72    156   -7.5302912129    mp-571286
Si1C1          8    186   -7.5303497012    mp-11714
Si1C1         22    160   -7.4990086536    mp-624397
Si1C1          2    225   -6.7890586550    mp-1002206
Si1C1         10    160   -7.5277572960    mp-11713
Si1C1          2    216   -7.5296521600    mp-8062
Si1C1         16    186   -7.5301778119    mp-567505
Si1C1         32    186   -7.5303613081    mp-567551
Si1C1         28    156   -7.5302144493    mp-568696
Si1C1         36    156   -7.5302757756    mp-568735
Si1C1         42    156   -7.5302139152    mp-582034
Si1C1         10    156   -7.5293151710    mp-568619
Si1C1         16    160   -7.4990623775    mp-570641
Si1C1         18    160   -7.4988697033    mp-570690
Si1C1         38    156   -7.5302808689    mp-570791
Si1C1         26    160   -7.4990710262    mp-570804
Si1C1         78    156   -7.5300897828    mp-571298
Si1C1         12    186   -7.5303710208    mp-7631
Si1C1         14    160   -7.5277398557    mp-9947
Si1C2          6    131   -7.5327730050    mp-1019097
Si1C1         20    156   -7.5302943225    mp-568656
Si1C2         12    205   -7.1148893483    mp-1102811
Si1C3          4    139   -6.1171079325    mp-972848
Si1C1         58    160   -7.4990588855    mp-1200168
Si5C3          8    146   -6.1314220488    mp-1219306
Si1C1         50    160   -7.4987284840    mp-1200848
Si1C1         34    160   -7.5301580876    mp-1200692
Si1C1         38    160   -7.5301323505    mp-1204356
Si3N2         20    221   -7.1041368585    mp-971682
Si3N4         28    159   -8.1816796486    mp-2245
Si2N3         10     36   -7.8128279440    mp-1080623
Si3N4         28     62   -7.8943347489    mp-641539
Si3N4         14    227   -8.0348776557    mp-2075
Si3N4         14    194   -7.6884591807    mp-40793
Si3N4         14    220   -8.0821749443    mp-11607
Si3N4         42    176   -7.5488000521    mp-583712
Si3N4         14    176   -8.1818096271    mp-988
Si1O2          6     72   -7.4979248467    mp-7905
Si1O2         36    229   -7.9070167536    mp-600033
Si1O2         12      1   -7.8706835783    mp-556985
Si1O2         12    205   -7.3434883008    mp-9258
Si1O2         48    122   -7.9153270167    mp-546794
Si1O2         36     60   -7.8713487258    mp-560203
Si1O2         12    194   -7.9037308075    mp-7087
Si1O4         15      1   -6.0734508527    mp-685105
Si6O13         76      6   -7.2823078382    mp-1173536
Si1O2         96    139   -7.9037477628    mp-639511
Si1O2         60    141   -7.8898540527    mp-639705
Si1O2         24     14   -7.9092079200    mp-669426
Si1O2         24     58   -7.9114147004    mp-985590
Si1O2         48     51   -7.8997552679    mp-639695
Si1O2         96     63   -7.9041303681    mp-560941
Si1O2        144     82   -7.9053659830    mp-554682
Si1O2         48    139   -7.9065826142    mp-600003
Si1O2         60    124   -7.8829002607    mp-600006
Si1O2        120     74   -7.9047405354    mp-600031
Si1O2        120    126   -7.8871242450    mp-600076
Si1O2        144    217   -7.7776710994    mp-600096
Si1O2        108     44   -7.9028485893    mp-600091
Si1O2         96     74   -7.9026690942    mp-560336
Si1O2        108    141   -7.8918228283    mp-600078
Si1O2         24      2   -7.7866450421    mp-683947
Si3O7         20      1   -6.6349946655    mp-638900
Si1O2        108     60   -7.8837159479    mp-639748
Si1O2         72      9   -7.9122510396    mp-640556
Si1O2         36     36   -7.9076809528    mp-16964
Si1O2         24     95   -7.2146955100    mp-638033
Si1O2         24    125   -6.6734684263    mp-638038
Si1O2         36    210   -6.1755823747    mp-638049
Si1O2         18     51   -7.9051986200    mp-639463
Si1O2         54    131   -7.8926517413    mp-639480
Si1O2         72     24   -7.9021583308    mp-639506
Si1O2        138    223   -7.9067642459    mp-639512
Si1O2         30    119   -7.8862412117    mp-639682
Si1O2         72     29   -7.8979314831    mp-639733
Si1O2        144    229   -7.9026475303    mp-639741
Si1O2        144    223   -7.8600130086    mp-557024
Si1O2        144    230   -7.9020148154    mp-600028
Si1O2         96     59   -7.8992013909    mp-600022
Si1O2        192     91   -7.9008299619    mp-600054
Si1O2        144    129   -7.9066356026    mp-558947
Si1O2        144     74   -7.8977067422    mp-600057
Si1O2        168     38   -7.9023659150    mp-600055
Si1O2         96     57   -7.8976741762    mp-600070
Si1O2        192    131   -7.8948520118    mp-600080
Si1O2        180    138   -7.8921174823    mp-600109
Si1O2        192     63   -7.9041315294    mp-600098
Si1O2         84     59   -7.8989269740    mp-600053
Si1O2        192     72   -7.9036161583    mp-600084
Si1O2         72    205   -7.8871316650    mp-558374
Si3O1         16     15   -5.9165554294    mp-32566
Si1O2         24    121   -7.8835799333    mp-557930
Si1O2         24     74   -7.9051043596    mp-600000
Si1O2         15    115   -7.8900424627    mp-600001
Si1O2         24    131   -7.9014426508    mp-600002
Si1O2         48    229   -7.8997955712    mp-600005
Si1O2          9      5   -7.2345817222    mp-673168
Si1O2         66     12   -7.9027175345    mp-680204
Si1O2        144    191   -7.8846408224    mp-680222
Si1O2        168     65   -7.8998447400    mp-639558
Si1O2          9    154   -7.9048795800    mp-6930
Si1O2         84     15   -7.9075062902    mp-651707
Si1O2        192     47   -7.7859757092    mp-683970
Si1O2        168     67   -7.9004645171    mp-653763
Si1O2         90      1   -7.5154186980    mp-685184
Si1O2         48    126   -7.3937937021    mp-557017
Si1O2         12      5   -7.8445828408    mp-556662
Si1O2         12     20   -7.9079932392    mp-7648
Si1O2         12      6   -7.6174236283    mp-557653
Si1O2          9    180   -7.9026936656    mp-6922
Si1O2         24    198   -7.9104314967    mp-8059
Si1O2         12      9   -7.9120241375    mp-555235
Si1O2         36     92   -7.7481178483    mp-1179529
Si1O2         48    121   -7.8234743231    mp-560131
Si1O2         24     50   -7.1286784837    mp-558366
Si1O2          9    152   -7.9047435178    mp-7000
Si1O2         36     63   -7.9039111492    mp-600004
Si1O2         36     51   -7.9025024019    mp-600007
Si1O2         72     62   -7.9044408278    mp-600014
Si1O2         72    129   -7.9042518536    mp-600015
Si1O2         72     67   -7.9038840479    mp-600018
Si1O2         36     58   -7.8655755111    mp-600026
Si1O2         96     62   -7.8969665943    mp-600024
Si1O2         72     63   -7.9051548692    mp-560809
Si1O2         30     51   -7.8898734713    mp-600038
Si1O2        144     63   -7.9038294098    mp-600063
Si1O2         96     64   -7.9021762250    mp-600041
Si1O2         96     20   -7.8827626598    mp-600049
Si1O2         72     53   -7.8508263696    mp-600050
Si1O2        120     63   -7.9053489463    mp-600052
Si1O2        144     62   -7.9049793290    mp-600060
Si1O2         72     51   -7.9003047222    mp-600061
Si1O2        168    119   -7.8885231820    mp-600067
Si1O2        144     42   -7.9018928669    mp-600071
Si1O2         84     12   -7.9070057511    mp-667383
Si1O2         96     71   -7.9037469284    mp-667368
Si1O2         96     15   -7.9029099902    mp-646895
Si1O2         72      1   -7.9124517608    mp-733790
Si1O2        180     59   -7.9020332268    mp-600083
Si1O2        120    225   -7.9011107759    mp-600023
Si1O2        144    226   -7.6533545994    mp-558931
Si1O2         12     24   -7.7380306350    mp-557244
Si1O2         24    227   -7.7810457417    mp-12350
Si1O2         18     15   -7.9049632383    mp-12787
Si1O2        108     71   -7.9036883335    mp-15078
Si1O2         24    118   -7.8418702262    mp-558200
Si1O2         24    116   -7.7689015446    mp-561291
Si1O2         12     33   -7.9127568700    mp-554089
Si1O2         12     82   -7.9102045975    mp-554151
Si1O2         51     81   -7.9047997108    mp-600059
Si1O2         48     12   -7.9004567110    mp-17279
Si1O2         36    166   -7.9035280106    mp-17909
Si1O2         36     12   -7.9069394914    mp-18280
Si1O2         72    180   -7.7054352186    mp-559273
Si1O2         72     19   -7.9109768065    mp-542814
Si1O2         36    162   -7.7712209986    mp-556963
Si1O2         24     64   -7.9061605667    mp-559313
Si1O2         48    141   -7.9067481571    mp-555700
Si1O2         36    177   -7.1291509592    mp-555823
Si1O2          9    181   -7.9026902533    mp-10851
Si1O2         24     19   -7.9101949229    mp-556961
Si1O2         36    181   -7.6401901619    mp-557723
Si1O2         36     96   -7.9024009978    mp-559872
Si1O2        144    224   -7.4215661435    mp-561301
Si1O2         36      1   -7.9015325611    mp-557004
Si1O2         12     13   -7.2173857425    mp-545488
Si1O2         48    133   -7.8926843613    mp-559347
Si1O2         12     98   -7.7656761375    mp-545719
